ProductName,Rating,Price,OriginalPrice,Discount,Reviews,Features,PageNumber,Ratings1,Reviews1,Number_Ratings,Number_Reviews,Brand,Ton,Star,AC_Type,Power_Usage,Room_Size
Samsung 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.2,36490,72990,50,"26,515 Ratings & 2,683 Reviews",Annual Power Usage: 751.24 WRoom Size: 111 - 150 sqft5 Years Comprehensive Warranty on AC and 10 Years Warranty on Compressor,1,"26,515 Ratings "," 2,683 Reviews",26515,2683,Samsung,1.5,5.0,Split,751.24,111 - 150 sqft
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,33990,60990,44,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",1,"83,437 Ratings "," 7,067 Reviews",83437,7067,Voltas,1.5,3.0,Split,900.94,111 - 150 sqft
MarQ by Flipkart 2026 Model 1 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,21990,47999,54,"43,706 Ratings & 5,407 Reviews",Annual Power Usage: 594.03 kWhRoom Size: 90 sqft or Below1 year comprehensive warranty on product and 10 years warranty on compressor,1,"43,706 Ratings "," 5,407 Reviews",43706,5407,MarQ,1.0,3.0,Split,594.03,90 sqft
MarQ by Flipkart 2026 Model 1.5 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,4.2,26490,49999,47,"49,936 Ratings & 6,373 Reviews",Annual Power Usage: 858.22 kWhRoom Size: 111 - 150 sqft1 year comprehensive warranty on product and 10 years warranty on compressor,1,"49,936 Ratings "," 6,373 Reviews",49936,6373,MarQ,1.5,3.0,Split,858.22,111 - 150 sqft
Voltas 2025 Model 1.5 Ton 5 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambie...,4.2,38990,69990,44,"41,002 Ratings & 3,819 Reviews","Annual Power Usage: 751.28 UnitsRoom Size: 111 - 150 sqft5 years warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid till 31st May 2026). It is applicable only for residential usage and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor",1,"41,002 Ratings "," 3,819 Reviews",41002,3819,Voltas,1.5,5.0,Split,751.28,111 - 150 sqft
Daikin 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,37490,56100,33,"24,785 Ratings & 1,912 Reviews",Annual Power Usage: 880.1 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and  5 Years Warranty on PCB and 10 Years Warranty on Compressor,1,"24,785 Ratings "," 1,912 Reviews",24785,1912,Daikin,1.5,3.0,Split,880.1,111 - 150 sqft
MarQ by Flipkart 2025 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,4.2,28990,56199,48,"29,718 Ratings & 3,672 Reviews",Annual Power Usage: 781.88 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,1,"29,718 Ratings "," 3,672 Reviews",29718,3672,MarQ,1.5,5.0,Split,781.88,111 - 150 sqft
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,42990,78990,45,"46,175 Ratings & 4,255 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,1,"46,175 Ratings "," 4,255 Reviews",46175,4255,LG,1.5,5.0,Split,744.75,111 - 150 sqft
Daikin 2026 Model 1.5 Ton 4 Star Split Inverter AC,4.1,40990,60000,31,953 Ratings & 106 Reviews,"Annual Power Usage: 751.22 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,  5 Years warranty on PCB and 10 Years Warranty on Compressor",1,953 Ratings , 106 Reviews,953,106,Daikin,1.5,4.0,Split,751.22,111 - 150 sqft
MarQ by Flipkart 2026 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,4.2,31490,58999,46,"29,718 Ratings & 3,672 Reviews",Annual Power Usage: 656.35 kWhRoom Size: 111 - 150 sqft1 year comprehensive warranty on product and 10 years warranty on compressor,1,"29,718 Ratings "," 3,672 Reviews",29718,3672,MarQ,1.5,5.0,Split,656.35,111 - 150 sqft
